customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
xxxx-00057,Male,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,726.44,No
xxxx-00058,Male,0,No,No,37,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),35.18,1315.41,No
xxxx-00059,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,39.78,No
xxxx-00060,Male,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,836.12,No
xxxx-00061,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,45.07,945.02,Yes
xxxx-00062,Male,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),37.43,1215.4,Yes
xxxx-00063,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,30.85,966.46,Yes
xxxx-00064,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.83,439.27,No
xxxx-00065,Female,0,No,No,55,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),32.93,1794.54,No
xxxx-00066,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,37.09,111.2,No
xxxx-00067,Male,1,Yes,No,69,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,30.21,2076.73,No
xxxx-00068,Female,1,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.19,1083.52,No
xxxx-00069,Female,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.22,2399.77,Yes
xxxx-00070,Female,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,543.26,No
xxxx-00071,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),42.18,863.06,Yes
xxxx-00072,Male,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,30.08,455.68,Yes
xxxx-00073,Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,33.76,542.87,No
xxxx-00074,Male,0,No,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),41.01,0.0,Yes
xxxx-00075,Female,1,Yes,No,71,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),37.68,2650.54,Yes
xxxx-00076,Female,1,Yes,No,64,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),46.1,2951.92,No
xxxx-00077,Female,0,No,No,65,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),27.9,1803.24,No
xxxx-00078,Male,0,Yes,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.76,739.01,No
xxxx-00079,Female,0,No,No,23,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.5,830.04,Yes
xxxx-00080,Male,1,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,1157.19,No
xxxx-00081,Female,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.38,571.74,No
xxxx-00082,Male,1,Yes,Yes,36,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),39.28,1435.5,No
xxxx-00083,Female,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),33.1,1141.58,No
xxxx-00084,Male,0,No,Yes,37,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),20.78,781.99,No
xxxx-00085,Male,1,Yes,No,52,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,24.02,1241.13,No
xxxx-00086,Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),36.81,493.37,No
xxxx-00087,Male,0,Yes,No,41,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),25.75,1071.35,Yes
xxxx-00088,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,29.07,75.73,No
xxxx-00089,Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.64,1073.23,No
xxxx-00090,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),43.92,960.24,No
xxxx-00091,Female,0,Yes,No,14,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),33.85,464.19,Yes
xxxx-00092,Female,1,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.76,284.94,No
xxxx-00093,Female,1,Yes,No,69,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),26.06,1817.73,No
xxxx-00094,Female,0,No,Yes,53,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,40.31,2150.43,Yes
xxxx-00095,Female,0,No,No,37,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),31.36,1141.55,No
xxxx-00096,Female,0,No,No,27,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),27.55,739.95,No
xxxx-00097,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,36.77,670.9,No
xxxx-00098,Female,1,No,Yes,68,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),30.98,2055.06,No
xxxx-00099,Male,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,38.92,2446.53,Yes
xxxx-00100,Male,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,33.98,85.46,No
xxxx-00101,Female,0,No,Yes,9,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.89,253.89,Yes
xxxx-00102,Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),38.92,435.78,No
xxxx-00103,Female,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.65,1591.82,Yes
xxxx-00104,Female,0,Yes,Yes,6,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),44.07,276.88,No
xxxx-00105,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,33.17,1453.73,No
xxxx-00106,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.94,529.91,No
xxxx-00107,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),42.6,34.6,No
xxxx-00108,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.82,665.3,No
xxxx-00109,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,1260.77,Yes
xxxx-00110,Female,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),45.89,881.34,No
xxxx-00111,Male,0,Yes,Yes,43,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,33.9,1500.13,No
xxxx-00112,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1273.06,No
xxxx-00113,Female,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.44,1440.3,Yes
xxxx-00114,Male,0,No,No,30,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29.89,922.6,Yes
xxxx-00115,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),27.84,1104.14,Yes
xxxx-00116,Male,1,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.72,1493.14,Yes
xxxx-00117,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),25.9,78.43,No
xxxx-00118,Female,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),41.02,1313.97,No
xxxx-00119,Male,0,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,42.17,1750.65,No
xxxx-00120,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),42.87,791.07,No
xxxx-00121,Male,0,Yes,Yes,31,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),32.41,998.19,No
xxxx-00122,Female,0,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),27.05,51.41,Yes
xxxx-00123,Male,0,No,No,0,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),32.73,0.0,No
xxxx-00124,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,35.0,1429.41,No
xxxx-00125,Female,0,No,No,47,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),31.25,1474.63,No
xxxx-00126,Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),38.21,1426.66,No
xxxx-00127,Male,0,Yes,No,4,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),21.39,116.98,No
xxxx-00128,Female,1,Yes,No,10,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,27.27,290.2,No
xxxx-00129,Female,0,No,No,21,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),35.75,741.67,Yes
xxxx-00130,Female,0,No,No,63,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),38.0,2412.52,No
xxxx-00131,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.57,224.36,Yes
xxxx-00132,Male,0,Yes,No,52,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,35.63,1857.5,No
xxxx-00133,Male,0,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,43.83,2373.11,Yes
xxxx-00134,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,937.69,No
xxxx-00135,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,33.78,681.06,No
xxxx-00136,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),37.43,611.5,No
xxxx-00137,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.52,2406.94,No
xxxx-00138,Male,0,Yes,No,71,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,32.45,2279.64,No
xxxx-00139,Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.86,1505.8,No
xxxx-00140,Female,0,Yes,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.25,1017.62,No
xxxx-00141,Male,0,No,Yes,48,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),28.59,1337.38,No
xxxx-00142,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.95,2016.36,No
xxxx-00143,Female,1,No,No,22,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,27.54,603.34,No
xxxx-00144,Female,1,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,45.16,92.89,No
xxxx-00145,Male,1,No,No,55,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),30.18,1711.05,No
xxxx-00146,Male,0,Yes,No,57,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,23.3,1315.81,No
xxxx-00147,Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),28.63,1751.37,Yes
xxxx-00148,Male,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,287.13,No
xxxx-00149,Female,0,No,No,60,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,26.97,1620.29,No
xxxx-00150,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.39,725.98,No
xxxx-00151,Male,0,Yes,Yes,53,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,26.27,1342.27,No
xxxx-00152,Male,1,No,No,64,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),31.77,2050.69,Yes
xxxx-00153,Male,0,No,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,234.83,No
xxxx-00154,Male,1,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,26.77,122.79,No
xxxx-00155,Female,0,No,No,61,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,39.27,2370.17,No
xxxx-00156,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,39.87,0.0,Yes
xxxx-00157,Female,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,36.66,2252.04,No
xxxx-00158,Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.26,1851.26,No
xxxx-00159,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),36.57,688.5,Yes
xxxx-00160,Male,0,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Mailed check,38.34,1585.82,No
xxxx-00161,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),37.73,1550.2,Yes
xxxx-00162,Female,0,No,Yes,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.97,2571.02,Yes
xxxx-00163,Female,1,No,Yes,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),41.51,1549.19,No
xxxx-00164,Female,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,37.26,2270.16,Yes
xxxx-00165,Male,1,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,33.53,1576.2,No
xxxx-00166,Female,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.09,98.49,No
xxxx-00167,Male,0,No,No,41,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,28.71,1236.3,No
xxxx-00168,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,37.66,2124.77,Yes
xxxx-00169,Female,0,No,Yes,42,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),28.81,1208.08,No
xxxx-00170,Female,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,31.08,294.3,Yes
xxxx-00171,Male,0,No,No,38,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.01,1298.76,No
